CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est,SE,P,adjP_Bonf
35,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,0.0520344,0.03030813,0.086007269,1
50,spermidine,Amino Acid,Polyamine Metabolism,0.021126546,0.030544407,0.489146729,1
55,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.014133198,0.029030204,0.626368456,1
92,2-oxoadipate,Amino Acid,Lysine Metabolism,0.099005679,0.032196624,0.002104793,1
93,alpha-ketoglutarate,Energy,TCA Cycle,0.038571789,0.030029815,0.19898463,1
98,kynurenate,Amino Acid,Tryptophan Metabolism,0.10530325,0.03014033,0.000476259,0.511025809
111,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.006884922,0.029091247,0.812915568,1
112,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,0.097806851,0.031168388,0.001700965,1
132,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.035419563,0.029929113,0.236631454,1
136,cholate,Lipid,Primary Bile Acid Metabolism,-0.006861708,0.029556919,0.81641969,1
158,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",0.022615591,0.029257868,0.439537373,1
171,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.015787147,0.029054576,0.58688073,1
180,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),-0.060349599,0.030809359,0.050135353,1
181,laurate (12:0),Lipid,Medium Chain Fatty Acid,-0.071446567,0.031187206,0.021969576,1
182,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.066686296,0.029237849,0.022559047,1
189,"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,0.021606951,0.031008078,0.485917431,1
192,N-acetylputrescine,Amino Acid,Polyamine Metabolism,0.072953266,0.029478453,0.013331091,1
194,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.053682203,0.030323434,0.076673728,1
197,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.099864481,0.032739072,0.002286015,1
207,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",-0.050781911,0.029076605,0.080726374,1
209,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",0.08593372,0.029240848,0.003294595,1
212,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,0.094580315,0.03143446,0.002622731,1
213,N6-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",0.00336966,0.029789988,0.909940288,1
229,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.018798843,0.029664336,0.526264461,1
231,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,0.007077027,0.029648217,0.811338272,1
234,aspartate,Amino Acid,Alanine and Aspartate Metabolism,0.140601467,0.030519758,4.09E-06,0.004385531
235,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,0.01498967,0.029299576,0.608930816,1
240,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,0.002708772,0.033924645,0.936359151,1
241,phenylpyruvate,Amino Acid,Phenylalanine Metabolism,0.030517147,0.029574151,0.302125615,1
244,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",-0.005823353,0.028500048,0.838097308,1
