CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est,SE,P,adjP_Bonf
35,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,0.040677347,0.027013475,0.132114187,1
50,spermidine,Amino Acid,Polyamine Metabolism,0.026975493,0.027559523,0.327674657,1
55,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,-0.044024215,0.026186608,0.092729341,1
92,2-oxoadipate,Amino Acid,Lysine Metabolism,0.220774652,0.030177957,2.56E-13,2.75E-10
93,alpha-ketoglutarate,Energy,TCA Cycle,0.2578991,0.033515359,1.42E-14,1.52E-11
98,kynurenate,Amino Acid,Tryptophan Metabolism,0.335775732,0.028260802,1.48E-32,1.59E-29
111,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.16214242,0.027493995,3.69E-09,3.96E-06
112,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,0.178451366,0.030577146,5.34E-09,5.73E-06
132,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.151116355,0.027800911,5.46E-08,5.86E-05
136,cholate,Lipid,Primary Bile Acid Metabolism,0.09884197,0.026484069,0.000189868,0.203728328
158,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",-0.018357885,0.026329034,0.48564716,1
171,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.001491725,0.026237809,0.954661469,1
180,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.084088345,0.028031638,0.002701874,1
181,laurate (12:0),Lipid,Medium Chain Fatty Acid,-0.012831246,0.028082805,0.647737474,1
182,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.287666696,0.028787656,1.64E-23,1.76E-20
189,"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,0.092213952,0.027875514,0.000939437,1
192,N-acetylputrescine,Amino Acid,Polyamine Metabolism,0.234109938,0.027113191,5.90E-18,6.33E-15
194,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.25495467,0.02815325,1.35E-19,1.45E-16
197,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.19751568,0.029726118,3.04E-11,3.26E-08
207,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",-0.001546759,0.026334929,0.95316388,1
209,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",0.169429996,0.026693318,2.19E-10,2.35E-07
212,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,0.316567127,0.030882338,1.17E-24,1.26E-21
213,N6-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",0.082296087,0.027939411,0.003224126,1
229,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.053901031,0.026655895,0.043165456,1
231,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,-0.116114519,0.026529861,1.20E-05,0.012925685
234,aspartate,Amino Acid,Alanine and Aspartate Metabolism,0.357398827,0.028459397,3.58E-36,3.85E-33
235,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,0.106822496,0.027025979,7.73E-05,0.082955004
240,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,0.231067431,0.031023156,9.46E-14,1.02E-10
241,phenylpyruvate,Amino Acid,Phenylalanine Metabolism,0.046238635,0.026976209,0.086519106,1
244,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.023468562,0.026986802,0.384502045,1
250,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,-0.013529246,0.027796879,0.626458073,1
252,succinate,Energy,TCA Cycle,-0.020851908,0.025621936,0.415742181,1
254,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,-0.038834272,0.02685433,0.148146807,1
266,cholesterol,Lipid,Sterol,-0.147433963,0.026043444,1.50E-08,1.61E-05
267,choline phosphate,Lipid,Phospholipid Metabolism,-0.142072991,0.026596334,9.20E-08,9.87E-05
273,cortisone,Lipid,Corticosteroids,-0.072962595,0.026446203,0.005799516,1
275,creatinine,Amino Acid,Creatine Metabolism,0.041825032,0.032768523,0.201821821,1
278,cysteinylglycine,Amino Acid,Glutathione Metabolism,0.116159756,0.028211576,3.83E-05,0.041105285
279,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.251714157,0.026732679,4.69E-21,5.03E-18
297,sphingosine,Lipid,Sphingosines,0.26814029,0.026850086,1.75E-23,1.87E-20
302,deoxycholate,Lipid,Secondary Bile Acid Metabolism,-0.055836932,0.025738439,0.03005244,1
310,cystathionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.199051503,0.027861596,9.05E-13,9.71E-10
313,sphinganine,Lipid,Sphingolipid Synthesis,0.237653733,0.027004875,1.36E-18,1.46E-15
330,fumarate,Energy,TCA Cycle,0.022838441,0.026078063,0.381153919,1
331,gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,0.365523288,0.031055152,5.56E-32,5.97E-29
338,gluconate,Xenobiotics,Food Component/Plant,0.123169412,0.029466227,2.91E-05,0.031276209
339,glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",0.067750708,0.026230128,0.009796387,1
340,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.202007299,0.026415588,2.05E-14,2.20E-11
342,glycocholate,Lipid,Primary Bile Acid Metabolism,0.083285647,0.026024283,0.001372822,1
344,guanidinoacetate,Amino Acid,Creatine Metabolism,-0.248458813,0.029812948,7.82E-17,8.39E-14
