CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est,SE,P,adjP_Bonf
35,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,-0.079784878,0.033552421,0.017410735,1
50,spermidine,Amino Acid,Polyamine Metabolism,-0.000238469,0.03689215,0.994842557,1
55,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,-0.12388788,0.035584428,0.000498577,0.534973601
92,2-oxoadipate,Amino Acid,Lysine Metabolism,0.307435522,0.042764831,6.53E-13,7.00E-10
93,alpha-ketoglutarate,Energy,TCA Cycle,0.858197155,0.050264371,2.33E-65,2.50E-62
98,kynurenate,Amino Acid,Tryptophan Metabolism,0.494390509,0.03790336,6.93E-39,7.43E-36
111,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.312236054,0.039590898,3.11E-15,3.33E-12
112,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,0.268791255,0.046938752,1.03E-08,1.10E-05
132,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.094236046,0.036449441,0.00972687,1
136,cholate,Lipid,Primary Bile Acid Metabolism,0.116346505,0.034513793,0.000748918,0.803589532
158,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",0.130117712,0.03822805,0.00066474,0.71326616
171,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.093293525,0.035747043,0.009058855,1
180,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.062656276,0.037623004,0.095838669,1
181,laurate (12:0),Lipid,Medium Chain Fatty Acid,-0.103034438,0.038898604,0.008077925,1
182,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.686746761,0.045710795,5.13E-51,5.51E-48
189,"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,0.192394303,0.036019399,9.22E-08,9.90E-05
192,N-acetylputrescine,Amino Acid,Polyamine Metabolism,0.272393616,0.03681448,1.37E-13,1.47E-10
194,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.220660259,0.037921649,5.93E-09,6.36E-06
197,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.384846359,0.043829876,1.63E-18,1.75E-15
207,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",-0.086923728,0.032450721,0.00739223,1
209,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",0.185836648,0.036520288,3.61E-07,0.000387076
212,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,0.763538891,0.045378638,1.58E-63,1.69E-60
