CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est,SE,P,adjP_Bonf
35,S-1-pyrroline-5-carboxylate,Amino Acid,Glutamate Metabolism,-0.068887465,0.033590794,0.040287977,1
50,spermidine,Amino Acid,Polyamine Metabolism,-0.04560712,0.037229713,0.220567918,1
55,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,-0.109974656,0.035243721,0.00180603,1
92,2-oxoadipate,Amino Acid,Lysine Metabolism,0.258252977,0.040983708,2.95E-10,3.17E-07
93,alpha-ketoglutarate,Energy,TCA Cycle,0.612871116,0.04862402,2.00E-36,2.15E-33
98,kynurenate,Amino Acid,Tryptophan Metabolism,0.107601167,0.035684824,0.002567082,1
111,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.568480734,0.041049536,1.30E-43,1.39E-40
112,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,0.488402827,0.049032674,2.26E-23,2.43E-20
132,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.181699411,0.037957824,1.69E-06,0.001817631
136,cholate,Lipid,Primary Bile Acid Metabolism,-0.117442795,0.034953221,0.000779427,0.836325148
158,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",-0.125934022,0.033357758,0.000159844,0.171513113
171,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",-0.201416555,0.032537209,6.00E-10,6.44E-07
180,linoleate (18:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.083231946,0.03810283,0.028932629,1
181,laurate (12:0),Lipid,Medium Chain Fatty Acid,-0.099767981,0.03829553,0.009181738,1
182,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.055908503,0.035774122,0.118095008,1
189,"N6,N6,N6-trimethyllysine",Amino Acid,Lysine Metabolism,-0.531649434,0.04291417,3.01E-35,3.23E-32
192,N-acetylputrescine,Amino Acid,Polyamine Metabolism,0.391295875,0.036130703,2.48E-27,2.66E-24
194,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.149906998,0.036762746,4.55E-05,0.048806274
197,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.196981957,0.040919482,1.48E-06,0.001588244
207,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",-0.1216355,0.032677837,0.000197445,0.211858747
209,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",0.211250646,0.036023825,4.51E-09,4.84E-06
212,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,0.32459595,0.040359711,8.80E-16,9.44E-13
213,N6-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",0.086261984,0.038001786,0.023210887,1
229,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),0.127603123,0.036511814,0.000474338,0.508964186
231,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,-0.533485102,0.035265884,1.07E-51,1.14E-48
234,aspartate,Amino Acid,Alanine and Aspartate Metabolism,0.57774925,0.039758433,7.65E-48,8.21E-45
235,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,0.156712594,0.037936224,3.61E-05,0.038764192
240,3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,-0.015055275,0.041057893,0.713854697,1
241,phenylpyruvate,Amino Acid,Phenylalanine Metabolism,0.040077804,0.036648409,0.274141168,1
244,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.086402886,0.039113718,0.027173427,1
250,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,-0.078102657,0.037014194,0.034852055,1
252,succinate,Energy,TCA Cycle,-0.015753147,0.034380672,0.646810365,1
254,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,0.226281358,0.035502316,1.85E-10,1.98E-07
266,cholesterol,Lipid,Sterol,-0.36010023,0.034148313,5.35E-26,5.74E-23
267,choline phosphate,Lipid,Phospholipid Metabolism,-0.062623905,0.035699044,0.079393165,1
273,cortisone,Lipid,Corticosteroids,-0.122463953,0.032889876,0.000196515,0.210861041
275,creatinine,Amino Acid,Creatine Metabolism,-0.27874271,0.042785476,7.27E-11,7.81E-08
278,cysteinylglycine,Amino Acid,Glutathione Metabolism,0.346698246,0.044066913,3.62E-15,3.88E-12
279,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.280907917,0.034957376,9.30E-16,9.98E-13
297,sphingosine,Lipid,Sphingosines,0.323791449,0.035803138,1.52E-19,1.63E-16
302,deoxycholate,Lipid,Secondary Bile Acid Metabolism,0.102012847,0.036022063,0.004626442,1
310,cystathionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.193162375,0.037511683,2.61E-07,0.000280409
313,sphinganine,Lipid,Sphingolipid Synthesis,0.26772329,0.03656431,2.44E-13,2.62E-10
330,fumarate,Energy,TCA Cycle,0.172641988,0.04670194,0.00021844,0.234386092
331,gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,0.305885135,0.041263985,1.24E-13,1.33E-10
338,gluconate,Xenobiotics,Food Component/Plant,1.006011361,0.048571545,2.70E-95,2.90E-92
339,glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",0.169481719,0.036928997,4.45E-06,0.004769856
340,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.388133042,0.034532534,2.60E-29,2.79E-26
342,glycocholate,Lipid,Primary Bile Acid Metabolism,-0.04010954,0.035936629,0.26437137,1
344,guanidinoacetate,Amino Acid,Creatine Metabolism,-0.674234333,0.039729817,1.36E-64,1.46E-61
355,histidine,Amino Acid,Histidine Metabolism,-0.245070254,0.034422493,1.08E-12,1.16E-09
356,cortisol,Lipid,Corticosteroids,0.036195065,0.036147293,0.316671355,1
358,hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",-0.189175924,0.035263188,8.11E-08,8.70E-05
361,inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.012217653,0.035459219,0.730428906,1
363,myo-inositol,Lipid,Inositol Metabolism,-0.067952175,0.034979563,0.052061481,1
376,isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.969939954,0.047353413,3.05E-93,3.28E-90
381,2-aminoadipate,Amino Acid,Lysine Metabolism,0.287991892,0.039536166,3.23E-13,3.47E-10
391,citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,-0.510320123,0.036288052,6.41E-45,6.88E-42
397,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1.076965512,0.048497833,2.97E-109,3.19E-106
407,lysine,Amino Acid,Lysine Metabolism,0.252956754,0.037625577,1.78E-11,1.91E-08
409,malate,Energy,TCA Cycle,0.466895874,0.035347795,7.82E-40,8.39E-37
415,methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",-0.036128684,0.039804256,0.364058514,1
424,palmitate (16:0),Lipid,Long Chain Saturated Fatty Acid,0.327353695,0.039758095,1.82E-16,1.95E-13
432,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,0.037019642,0.038909406,0.341385287,1
439,stearate (18:0),Lipid,Long Chain Saturated Fatty Acid,0.343780324,0.045167625,2.72E-14,2.91E-11
444,ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,-0.077322204,0.038736067,0.045919836,1
445,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",-0.195116096,0.037994653,2.82E-07,0.000302167
452,palmitoleate (16:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,-0.131091318,0.038396926,0.000639908,0.686621209
460,phenylalanine,Amino Acid,Phenylalanine Metabolism,0.104421435,0.036056143,0.003778574,1
461,phosphate,Energy,Oxidative Phosphorylation,0.099295141,0.041095001,0.015681978,1
466,phytanate,Xenobiotics,Food Component/Plant,-0.31489369,0.035863378,1.63E-18,1.75E-15
480,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,0.46296181,0.037583443,7.23E-35,7.75E-32
482,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.364210078,0.034947855,1.98E-25,2.12E-22
491,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,0.09778257,0.037156084,0.008496622,1
498,retinol (vitamin A),Cofactors and Vitamins,Vitamin A Metabolism,0.267413391,0.039299904,1.01E-11,1.09E-08
501,salicylate,Xenobiotics,Drug - Topical Agents,-0.103095175,0.035711068,0.003890269,1
503,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.141872938,0.035418589,6.19E-05,0.066374161
504,serotonin,Amino Acid,Tryptophan Metabolism,0.061501963,0.036018055,0.087723309,1
512,taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",-0.666299262,0.03714931,6.21E-72,6.66E-69
519,myristate (14:0),Lipid,Long Chain Saturated Fatty Acid,0.070602382,0.037635643,0.060662886,1
533,urea,Amino Acid,Urea cycle; Arginine and Proline Metabolism,0.181130213,0.036234386,5.77E-07,0.000618838
535,uridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",-0.112060033,0.035829995,0.00176271,1
536,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",-0.249984796,0.035511286,1.93E-12,2.07E-09
537,trans-urocanate,Amino Acid,Histidine Metabolism,-0.091835068,0.036543173,0.011969007,1
561,glutamate,Amino Acid,Glutamate Metabolism,0.788542871,0.043929053,4.77E-72,5.11E-69
563,glutamine,Amino Acid,Glutamate Metabolism,-0.523775833,0.036080984,9.50E-48,1.02E-44
564,threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.203374282,0.036765537,3.17E-08,3.40E-05
565,tryptophan,Amino Acid,Tryptophan Metabolism,-0.203020799,0.036702276,3.17E-08,3.41E-05
566,valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",0.917440682,0.058060344,3.04E-56,3.26E-53
572,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",2.257904289,0.071261008,2.50E-220,2.68E-217
796,alpha-ketobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.75333858,0.041631402,3.46E-73,3.71E-70
799,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.431585527,0.037012348,2.03E-31,2.17E-28
800,cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.391702426,0.038364596,1.79E-24,1.92E-21
803,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1.434010096,0.048683624,1.06E-190,1.14E-187
806,dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",-0.059225576,0.037645543,0.115662629,1
811,alanine,Amino Acid,Alanine and Aspartate Metabolism,0.739630254,0.041026074,1.17E-72,1.25E-69
