Var2,CHEMICAL_NAME.x,SUPER_PATHWAY.x,Var1,CHEMICAL_NAME.y,SUPER_PATHWAY.y,corr,p
181,laurate (12:0),Lipid,209,adenosine 5'-monophosphate (AMP),Nucleotide,0.106417906,0
181,laurate (12:0),Lipid,278,cysteinylglycine,Amino Acid,-0.059573854,3.93E-09
181,laurate (12:0),Lipid,445,orotate,Nucleotide,0.080430647,1.78E-15
181,laurate (12:0),Lipid,452,palmitoleate (16:1n7),Lipid,0.561272775,0
181,laurate (12:0),Lipid,561,glutamate,Amino Acid,-0.203329534,0
181,laurate (12:0),Lipid,821,pseudouridine,Nucleotide,0.094015376,0
181,laurate (12:0),Lipid,1022,picolinate,Amino Acid,-0.127131008,0
181,laurate (12:0),Lipid,1140,gamma-glutamylglutamine,Peptide,0.051276887,4.06E-07
181,laurate (12:0),Lipid,1342,3-methoxytyrosine,Amino Acid,0.188746691,0
181,laurate (12:0),Lipid,1539,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,0.118023729,0
181,laurate (12:0),Lipid,100000054,5-hydroxylysine,Amino Acid,0.052263562,2.42E-07
181,laurate (12:0),Lipid,100000611,1-palmityl-GPC (O-16:0),Lipid,-0.104266117,0
181,laurate (12:0),Lipid,100000665,docosahexaenoate (DHA; 22:6n3),Lipid,0.297159764,0
181,laurate (12:0),Lipid,100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,0.392658735,0
181,laurate (12:0),Lipid,100000792,dehydroepiandrosterone sulfate (DHEA-S),Lipid,-0.184620662,0
181,laurate (12:0),Lipid,100001055,isobutyrylcarnitine (C4),Amino Acid,-0.172201423,0
181,laurate (12:0),Lipid,100001197,10-undecenoate (11:1n1),Lipid,0.179091321,0
181,laurate (12:0),Lipid,100001211,sebacate (C10-DC),Lipid,0.333760427,0
181,laurate (12:0),Lipid,100001247,octanoylcarnitine (C8),Lipid,0.180693196,0
181,laurate (12:0),Lipid,100001251,decanoylcarnitine (C10),Lipid,0.211596989,0
181,laurate (12:0),Lipid,100001256,N-acetylphenylalanine,Amino Acid,-0.077084744,2.49E-14
181,laurate (12:0),Lipid,100001383,1-myristoyl-GPC (14:0),Lipid,0.286329019,0
181,laurate (12:0),Lipid,100001391,stearoylcarnitine (C18),Lipid,0.109068125,0
181,laurate (12:0),Lipid,100001425,"5,6-dihydrouridine",Nucleotide,0.086427466,0
181,laurate (12:0),Lipid,100001540,glutamine_degradant*,Partially Characterized Molecules,-0.055074533,5.27E-08
181,laurate (12:0),Lipid,100001550,homostachydrine*,Xenobiotics,0.128595367,0
181,laurate (12:0),Lipid,100001552,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,Lipid,0.089728055,0
181,laurate (12:0),Lipid,100001553,1-dihomo-linoleoyl-GPC (20:2)*,Lipid,0.052295038,2.38E-07
181,laurate (12:0),Lipid,100001571,1-arachidonoyl-GPE (20:4n6)*,Lipid,0.084646923,0
181,laurate (12:0),Lipid,100001674,2-arachidonoyl-GPE (20:4)*,Lipid,-0.088149576,0
181,laurate (12:0),Lipid,100001743,tryptophan betaine,Amino Acid,0.129825452,0
181,laurate (12:0),Lipid,100001882,glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Lipid,0.132071343,0
181,laurate (12:0),Lipid,100002060,1-docosahexaenoyl-GPE (22:6)*,Lipid,0.136925122,0
181,laurate (12:0),Lipid,100002126,16alpha-hydroxy DHEA 3-sulfate,Lipid,-0.065955435,7.07E-11
181,laurate (12:0),Lipid,100002152,andro steroid monosulfate C19H28O6S (1)*,Lipid,-0.067225224,3.03E-11
181,laurate (12:0),Lipid,100002796,cis-4-decenoate (10:1n6)*,Lipid,0.293200842,0
181,laurate (12:0),Lipid,100005372,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,-0.072166718,9.70E-13
181,laurate (12:0),Lipid,100005986,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,0.077670188,1.60E-14
181,laurate (12:0),Lipid,100006129,vanillactate,Amino Acid,0.101779698,0
181,laurate (12:0),Lipid,100006361,dopamine 3-O-sulfate,Amino Acid,0.073335657,4.15E-13
181,laurate (12:0),Lipid,100006379,C-glycosyltryptophan,Amino Acid,0.150777706,0
181,laurate (12:0),Lipid,100008917,1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),Lipid,0.164319988,0
181,laurate (12:0),Lipid,100008918,1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),Lipid,-0.076492353,3.91E-14
181,laurate (12:0),Lipid,100008957,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,0.10723872,0
181,laurate (12:0),Lipid,100008985,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,0.091569138,2.22E-16
181,laurate (12:0),Lipid,100008999,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,-0.126470042,0
181,laurate (12:0),Lipid,100009000,1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,Lipid,-0.150692132,0
181,laurate (12:0),Lipid,100009002,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,-0.180759352,0
181,laurate (12:0),Lipid,100009004,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,Lipid,-0.077031311,2.60E-14
181,laurate (12:0),Lipid,100009007,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,0.149457584,0
181,laurate (12:0),Lipid,100009009,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,0.100740722,0
181,laurate (12:0),Lipid,100009014,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,-0.095546881,0
