CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est_Itest,SE_Itest,P_Itest,Est_Mtest,SE_Mtest,P_Mtest,Est_IMtest,SE_IMtest,P_IMtest,Est_I,SE_I,P_I,Est_M,SE_M,P_M,Est_IM,SE_IM,P_IM
181,laurate (12:0),Lipid,Medium Chain Fatty Acid,0.300303096,0.051186674,5.05E-09,0.639711037,0.056236843,3.00E-29,0.339407941,0.066212606,3.19E-07,0.323764111,0.032335905,2.10E-23,0.552149411,0.037893698,3.02E-47,0.2283853,0.043802916,1.91E-07
209,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",0.181187747,0.052384804,0.000551946,0.510685037,0.057553183,1.35E-18,0.32949729,0.067762449,1.23E-06,0.196562345,0.034969277,1.99E-08,0.508817905,0.040979687,6.02E-35,0.312255561,0.047370139,4.74E-11
278,cysteinylglycine,Amino Acid,Glutathione Metabolism,0.512481969,0.05032207,6.99E-24,0.207756598,0.055286935,0.000175451,-0.304725371,0.065094196,3.01E-06,0.488777758,0.033802892,1.45E-46,0.283938666,0.039612827,8.59E-13,-0.204839091,0.045790129,7.85E-06
358,hypotaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",-0.523346113,0.052813794,1.02E-22,-0.242053577,0.058024498,3.13E-05,0.281292536,0.06831737,3.96E-05,-0.519667553,0.034054776,1.47E-51,-0.234517215,0.039908003,4.43E-09,0.285150338,0.046131335,6.80E-10
445,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",-0.258129923,0.053596472,1.55E-06,0.180968248,0.058884396,0.002140661,0.439098172,0.069329805,2.85E-10,-0.297366885,0.034287546,5.43E-18,0.198957536,0.040180781,7.57E-07,0.496324421,0.046446651,2.11E-26
452,palmitoleate (16:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,-0.141210716,0.05000578,0.004783104,0.218934718,0.05493944,6.95E-05,0.360145434,0.064685059,2.86E-08,-0.15723616,0.031614211,6.77E-07,0.204757269,0.037047962,3.41E-08,0.361993429,0.042825294,3.57E-17
561,glutamate,Amino Acid,Glutamate Metabolism,0.149182573,0.04964826,0.002684763,0.345732034,0.054546646,2.76E-10,0.196549461,0.064222588,0.002234231,0.22644734,0.03227587,2.55E-12,0.427072697,0.037823345,2.96E-29,0.200625356,0.043721591,4.56E-06
803,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",0.875462686,0.053331512,1.63E-57,0.552153831,0.058593294,9.79E-21,-0.323308855,0.068987064,2.93E-06,0.763293619,0.033013439,4.07E-113,0.532600267,0.038687685,1.92E-42,-0.230693352,0.044720718,2.57E-07
821,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",0.617195937,0.050410679,1.72E-33,0.344091913,0.055384287,6.10E-10,-0.273104023,0.065208817,2.91E-05,0.621431109,0.032565298,9.71E-79,0.310802066,0.038162519,4.65E-16,-0.310629043,0.044113657,2.13E-12
1022,picolinate,Amino Acid,Tryptophan Metabolism,-0.594792182,0.051197592,2.09E-30,-0.151426128,0.056248838,0.007149512,0.443366054,0.066226729,2.67E-11,-0.63498254,0.033272372,9.40E-79,-0.279902519,0.038991123,7.94E-13,0.355080021,0.045071475,3.95E-15
